Hanwang                                           # Hanwang Technology
ATP                                               # ATP Electronics
CXP                                               # CXP Digital
Wild                                              # Wild Lab
Elma                                              # Elma Electronic
Starkey                                           # Starkey Labs
Telsis                                            # Telsis Limited
Asante                                            # Asante Technologies
GridIron                                          # GridIron Systems
Vtera                                             # Vtera Technology
Advent                                            # Advent Networks
PacketFlux                                        # PacketFlux Technologies
AddPac                                            # AddPac Technology
Lanbowan                                          # Lanbowan Technology
MMB                                               # MMB Research
Sicom                                             # Sicom Systems
AusLinx                                           # AusLinx Technology
Decatur                                           # Decatur Electronics
Australiacssc                                     # Telecom Australiacssc
WatchGuard                                        # WatchGuard Technologies
Leadtek                                           # Leadtek Research
CON                                               # CON Computer
Elpro                                             # Elpro Technologies
DigiRose                                          # DigiRose Technology
Tplink                                            # Tplink Technologies
Aspen                                             # Aspen Networks
Sampo                                             # Sampo Technology
Spinnaker                                         # Spinnaker Networks
Lorica                                            # Lorica Solutions
BMC                                               # BMC Software
Firich                                            # Firich Enterprises
Inhon                                             # Inhon International
Hitech                                            # Advanced Hitech
Addtron                                           # Addtron Technology
RTC                                               # RTC Industries
Aviation                                          # Aviation System
Doremi                                            # Doremi Labs
ESG                                               # ESG Solutions
CyberTAN                                          # CyberTAN Technology
Pravis                                            # Pravis Systemsltd
Wiscom                                            # Wiscom System
Devline                                           # Devline Limited
Rivertree                                         # Rivertree Networks
Proxim                                            # Proxim Wireless
Wiline                                            # Wiline Networks
Totus                                             # Totus Solutions
Act                                               # Act System
Dicna                                             # Dicna Control
Dycon                                             # Dycon Limited
Tera                                              # Tera Microsystems
Orient                                            # Orient Telecom
Gridpoint                                         # Gridpoint Systems
Process                                           # Process Control
Fast                                              # Fast Systems
Procket                                           # Procket Networks
xstar                                             # xstar networks
Pertronic                                         # Pertronic Industries
SamJi                                             # SamJi Electronics
OptiMight                                         # OptiMight Communications
SSI                                               # SSI Computer
Kimin                                             # Kimin Electronic
Davit                                             # Davit Solution
Futronic                                          # Futronic Technology
Newbury                                           # Newbury Networks
SPG                                               # SPG Controls
Arcadia                                           # Arcadia Networks
Tremon                                            # Tremon Enterprises
Aiji                                              # Aiji System
Commande                                          # Commande Technology
2000                                              # Group 2000
Xtera                                             # Xtera Communications
Category                                          # Category Solutions
Kestrel                                           # Kestrel Solutions
Pleiades                                          # Pleiades Communications
Honda                                             # Honda Electron
Imci                                              # Imci Technologies
GNP                                               # GNP Computers
DFT                                               # DFT SystemLtd
TAC                                               # TAC Systems
Gembird                                           # Gembird Europe
Freestyle                                         # Freestyle Technology
YoungWoo                                          # YoungWoo Telecom
Tsukamoto                                         # Wireless Tsukamoto
Double                                            # Double Electronics
Sheba                                             # Sheba Systems
Atrend                                            # Atrend Technology
Integrated                                        # Integrated Network
Korenix                                           # Korenix Technologies
Lapis                                             # Lapis Technologies
VSN                                               # VSN Systemen
Platypus                                          # Platypus Technology
Sane                                              # Sane System
Danam                                             # Danam Communications
Measy                                             # Measy Electronics
Interface                                         # Interface Systems
InfoGear                                          # InfoGear Technology
Planet                                            # Planet System
Microtime                                         # Microtime Computer
Empower                                           # Empower TechnologiesCanada
Nexcomm                                           # Nexcomm Systems
Operations                                        # Tellabs Operations
Tools                                             # Network Tools
Metera                                            # Metera Networks
ITC                                               # ITC Networks
Gawell                                            # Gawell Technologies
Diversified                                       # Diversified Technology
Acteon                                            # Acteon Group
CMS                                               # CMS Technologies
Itran                                             # Itran Communications
Document                                          # Document Technologies
Svec                                              # Svec Computer
Cableware                                         # Cableware Electronics
NRadio                                            # NRadio Technologies
Digitra                                           # Digitra Systems
Evergreen                                         # Evergreen Systems
3UP                                               # 3UP Systems
Unex                                              # Unex Technology
YMax                                              # YMax Telecom
Generation                                        # Computer Generation
Raonet                                            # Raonet Systems
Ping                                              # Ping Communication
Axis                                              # Axis Communications
Hoseo                                             # Hoseo Telecom
Well                                              # Well Communication
Performance                                       # Performance Technologies
Wearsafe                                          # Wearsafe Labs
YSTen                                             # YSTen Technology
Dediprog                                          # Dediprog Technology
Digitec                                           # Digitec Systems
Persistent                                        # Persistent Systems
Solinet                                           # Solinet Systems
Santera                                           # Santera Systems
HAN                                               # HAN Networks
Artila                                            # Artila Electronics
Tabuchi                                           # Tabuchi Electric
Eurotel                                           # Eurotel Telecom
Newport                                           # Newport Networks
Mindray                                           # Mindray USA
Tigaro                                            # Tigaro Wireless
Albahith                                          # Albahith Technologies
Savant                                            # Savant Systems
Intelligent                                       # Intelligent Technology
Jurumani                                          # Jurumani Solutions
Vectron                                           # Vectron Systems
Axerra                                            # Axerra Networks
Ole                                               # Ole Communications
Kyoto                                             # Kyoto University
Complementary                                     # Complementary Technologies
Aval                                              # Aval Communications
Sanmei                                            # Sanmei Electronics
Avega                                             # Avega Systems
AST                                               # AST Computer
Kodeos                                            # Kodeos Communications
Sylantro                                          # Sylantro Systems
Icue                                              # Icue Systems
Vicon                                             # Vicon Industries
Syntech                                           # Syntech Information
StrataLight                                       # StrataLight Communications
Sorenson                                          # Sorenson Communications
Nascent                                           # Nascent Networks
Trimax                                            # Trimax Wireless
Itoh                                              # Itoh Electronics
Conch                                             # Conch Electronic
Radionor                                          # Radionor Communications
CAT                                               # CAT System
Vivato                                            # Vivato Technologies
Innolight                                         # Innolight Technology
Hansun                                            # Hansun Technologies
Gmbh                                              # Controltronic Gmbh
Scanvaegt                                         # Scanvaegt International
Effinet                                           # Effinet Systems
Celeno                                            # Celeno Communications
Kentec                                            # Kentec Electronics
Webtv                                             # Webtv Networks
KSH                                               # KSH International
Murata                                            # Murata Manufacturing
eSang                                             # eSang Technologies
First                                             # First Communication
Flarion                                           # Flarion Technologies
Baicells                                          # Baicells Technologies
TwinMOS                                           # TwinMOS Technologies
Advantage                                         # Advantage Electronics
Panasonic                                         # Panasonic Taiwan
Botik                                             # Botik Technologies
Tratec                                            # Tratec Telecom
Flytech                                           # Flytech Technology
Fagor                                             # Fagor Electrnica
Fihonest                                          # Fihonest communication
